,name,Code,lat,lon,ligne,ville
199,Docteur Martin,SEM:GENDRMARTIN,45.18731,5.72728,C4,Grenoble
200,Victor Hugo,SEM:GENVICTHUGO,45.18938,5.72499,C4,Grenoble
201,Henri Dunant,SEM:GENHDUNANT,45.17441,5.7083,C5,Grenoble
202,Palais de Justice - Gare,SEM:GENPALJUSTI,45.19164,5.71086,C5,Grenoble
203,Esclangon,SEM:GENESCLANGO,45.19158,5.7065,C5,Grenoble
204,Berriat-Le Magasin,SEM:GENBERRIAT,45.18878,5.70588,C5,Grenoble
205,Cémoi,SEM:GENCEMOI,45.18495,5.70573,C5,Grenoble
206,Vallier - Catane,SEM:GENVALLCATA,45.18002,5.70558,C5,Grenoble
207,Rosa Parks,SEM:GENRHINDANU,45.17497,5.70522,C5,Grenoble
208,Docteur Schweitzer,SEM:GENDRSCHWEI,45.17245,5.70632,C5,Grenoble
209,Lys Rouge,SEM:GENLYSROUGE,45.17304,5.71057,C5,Grenoble
210,Alliés,SEM:GENALLIES,45.17398,5.71427,C5,Grenoble
211,Marché d'Intérêt National,SEM:GENMAINNATI,45.17354,5.71805,C5,Grenoble
212,Stalingrad-Alliés,SEM:GENSTALALLI,45.17172,5.72435,C5,Grenoble
213,Flaubert - Clos d'Or,SEM:GENFLAUCLOS,45.17049,5.72791,C5,Grenoble
214,Malherbe,SEM:GENMALHERBE,45.16928,5.73229,C5,Grenoble
215,Louis Jouvet,SEM:GENLOUISJOU,45.16999,5.73712,C5,Grenoble
216,Teisseire,SEM:GENTEISSEIR,45.17081,5.74016,C5,Grenoble
217,Paul Cocat,SEM:GENPAULCOCA,45.17226,5.74478,C5,Grenoble
218,André Argouges,SEM:GENARGOUGES,45.17537,5.74447,C5,Grenoble
219,Saint-Augustin,SEM:GENSTAUGUST,45.17827,5.74591,C5,Grenoble
220,Bon Pasteur,SEM:GENBONPASTE,45.17875,5.7509,C5,Grenoble
221,Edouard Vaillant,SEM:GENEDVAILLA,45.17902,5.75528,C5,Saint-Martin-d'Hères
222,Pierre Sémard,SEM:GENPIERSEMA,45.18128,5.75712,C5,Saint-Martin-d'Hères
223,Neyrpic - Belledonne,SEM:GENNEYRBELL,45.18669,5.75716,C5,Saint-Martin-d'Hères
224,Clinique Belledonne,SEM:GENCLINBELD,45.18598,5.76095,C5,Saint-Martin-d'Hères
225,Champ Roman,SEM:GENCHAMPROM,45.18438,5.76824,C5,Saint-Martin-d'Hères
226,Les Alpilles,SEM:GENPROMOSOC,45.18714,5.76958,C5,Saint-Martin-d'Hères
